surface,rank,form,lang,gloss,source,kind,residue,note
Máax,9,maax,Yucatec Maya,aplastar,ilide Spanish-Maya,exact,,
Máax,10,maax,Yucatec Maya,machácar,ilide Spanish-Maya,exact,,
Máax,11,maax,Yucatec Maya,machucar,ilide Spanish-Maya,exact,,
Máax,12,maax,Yucatec Maya,magullar,ilide Spanish-Maya,exact,,
ka,1,ka,K'iche',madroño tree,Christenson K'iche',exact,,
ka,2,ka,Nahuatl,where,Campbell Pipil/Nawat CN,exact,,
ka,3,ke:,Nahuatl,(SD) ke:man (ge:raag),Campbell Pipil/Nawat CN,exact,,
ka,4,ka,Nawat,"quien, ¿quién?",Campbell Pipil/Nawat,exact,,
ka,5,ka,Nawat,-chan,Campbell Pipil/Nawat,exact,,
ka,6,ka,Nawat,-ipan detrás; behind,Campbell Pipil/Nawat,exact,,
ka,7,ka,Nawat,"-itan debajo de; under, underneith, beneith, below",Campbell Pipil/Nawat,exact,,
ka,8,ka,Nawat,"i-teputs al revés; backwards, opposite",Campbell Pipil/Nawat,exact,,
ka,9,ka,Nawat,"-i:xpan delante de, enfrente de; in front of, before",Campbell Pipil/Nawat,exact,,
ka,10,ka,Nawat,"ke:n ¿quién sabe?, a saber, saber (ka gé:rj); to be seen",Campbell Pipil/Nawat,exact,,
ka,11,ka,Nawat,ke:ski ¿quánto vale?,Campbell Pipil/Nawat,exact,,
ka,12,ka,Nawat,ne:,Campbell Pipil/Nawat,exact,,
a'tul,1,ATAL,Yucatec Maya,"ser pa[ga]do, 0 galardoneado y la tal paga",Cordemex,exact,,
a'tul,2,ATAL,Yucatec Maya,"vp seresperado,",Cordemex,exact,,
a'tul,3,atal,Yucatec Maya,Contratar,Cordemex,exact,,
a'tul,4,atal,Yucatec Maya,Flete,Cordemex,exact,,
a'tul,5,atal,Yucatec Maya,Galardonado,Cordemex,exact,,
a'tul,6,atal,Yucatec Maya,Pagar,Cordemex,exact,,
a'tul,7,atal,Yucatec Maya,Pagado,Cordemex,exact,,
a'tul,8,atal,Yucatec Maya,Sin Pagar,Cordemex,exact,,
cheyel,0,,,,,,,no attested form hit in attached dictionaries
quxzeh,0,,,,,,,no attested form hit in attached dictionaries
Axba,0,,,,,,,no attested form hit in attached dictionaries
Kíibsa',0,,,,,,,no attested form hit in attached dictionaries
tala,1,tela,Spanish,"Spanish: nook’, xéet’",ilide Spanish-Maya,exact,,
jare'yantul,0,,,,,,,no attested form hit in attached dictionaries
Ti',1,TE',Yucatec Maya,"planta con que dan saber y buen olor al pozole,",Cordemex,exact,,
Ti',2,TI',Yucatec Maya,hallar buscando; cobrar 0 halIar 10 perdido; ti' chiktahf ten: hallado 10 he 3.,Cordemex,exact,,
Ti',3,TI',Yucatec Maya,aunque sea alli,Cordemex,exact,,
Ti',4,TI',Yucatec Maya,idem.,Cordemex,exact,,
Ti',5,TI',Yucatec Maya,digno.,Cordemex,exact,,
Ti',6,TI',Yucatec Maya,"como adverbio de lugar significa en, sin 0 por; se pronuncia las",Cordemex,exact,,
Ti',7,TI',Yucatec Maya,"bigotes J, 1'1: bozo, mostachos 5, 6, 7, 8, :I1:",Cordemex,exact,,
Ti',8,TI',Yucatec Maya,menester,Cordemex,exact,,
Ti',9,ti',Yucatec Maya,Yan Yan Tumutil,Cordemex,exact,,
Ti',10,ti',Yucatec Maya,Segunda Parte,Cordemex,exact,,
Ti',11,ti',Yucatec Maya,Donde,Cordemex,exact,,
Ti',12,ti',Yucatec Maya,Hurtadillas,Cordemex,exact,,
ek'le,0,,,,,,,no attested form hit in attached dictionaries
upulché,1,UPUL,Yucatec Maya,"ser contrariado 0 resistido, pasivo de nup",Cordemex,affix,,
